observed_at,market,model_id,model,price,currency,reference_new_price
2026-09-07T18:10:49Z,ES,iphone-15,iPhone 15,420.00,EUR,859.00
2026-09-07T18:10:49Z,ES,iphone-15-plus,iPhone 15 Plus,470.00,EUR,959.00
2026-09-07T18:10:49Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-07T18:10:49Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-07T18:10:49Z,ES,iphone-16,iPhone 16,559.00,EUR,859.00
2026-09-07T18:10:49Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-07T18:10:49Z,ES,iphone-16-pro,iPhone 16 Pro,661.00,EUR,1219.00
2026-09-07T18:10:49Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,770.00,EUR,1469.00
2026-09-07T18:10:49Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-07T18:10:49Z,ES,iphone-17,iPhone 17,729.00,EUR,959.00
2026-09-07T18:10:49Z,ES,iphone-17-pro,iPhone 17 Pro,976.00,EUR,1319.00
2026-09-08T05:34:26Z,ES,iphone-13,iPhone 13,280.00,EUR,739.00
2026-09-08T05:34:26Z,ES,iphone-13-mini,iPhone 13 mini,265.00,EUR,809.00
2026-09-08T05:34:26Z,ES,iphone-14,iPhone 14,310.00,EUR,739.00
2026-09-08T05:34:26Z,ES,iphone-14-pro,iPhone 14 Pro,480.00,EUR,1549.00
2026-09-08T05:34:26Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-08T05:34:26Z,ES,iphone-15-plus,iPhone 15 Plus,478.00,EUR,959.00
2026-09-08T05:34:26Z,ES,iphone-15-pro,iPhone 15 Pro,565.00,EUR,1219.00
2026-09-08T05:34:26Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-08T05:34:26Z,ES,iphone-16,iPhone 16,559.00,EUR,859.00
2026-09-08T05:34:26Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-08T05:34:26Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-08T05:34:26Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,821.00,EUR,1469.00
2026-09-08T05:34:26Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-08T05:34:26Z,ES,iphone-17,iPhone 17,730.00,EUR,959.00
2026-09-08T05:34:26Z,ES,iphone-17-pro,iPhone 17 Pro,967.00,EUR,1319.00
2026-09-08T18:42:25Z,ES,iphone-13,iPhone 13,290.00,EUR,739.00
2026-09-08T18:42:25Z,ES,iphone-13-mini,iPhone 13 mini,268.00,EUR,809.00
2026-09-08T18:42:25Z,ES,iphone-14,iPhone 14,323.00,EUR,739.00
2026-09-08T18:42:25Z,ES,iphone-14-pro,iPhone 14 Pro,501.00,EUR,1549.00
2026-09-08T18:42:25Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-08T18:42:25Z,ES,iphone-15-plus,iPhone 15 Plus,489.99,EUR,959.00
2026-09-08T18:42:25Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-08T18:42:25Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,695.00,EUR,1469.00
2026-09-08T18:42:25Z,ES,iphone-16,iPhone 16,578.00,EUR,859.00
2026-09-08T18:42:25Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-08T18:42:25Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-08T18:42:25Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,828.00,EUR,1469.00
2026-09-08T18:42:25Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-08T18:42:25Z,ES,iphone-17,iPhone 17,738.00,EUR,959.00
2026-09-08T18:42:25Z,ES,iphone-17-pro,iPhone 17 Pro,951.00,EUR,1319.00
2026-09-09T06:39:19Z,ES,iphone-13,iPhone 13,299.00,EUR,739.00
2026-09-09T06:39:19Z,ES,iphone-13-mini,iPhone 13 mini,273.00,EUR,809.00
2026-09-09T06:39:19Z,ES,iphone-14,iPhone 14,324.00,EUR,739.00
2026-09-09T06:39:19Z,ES,iphone-14-pro,iPhone 14 Pro,501.00,EUR,1549.00
2026-09-09T06:39:19Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-09T06:39:19Z,ES,iphone-15-plus,iPhone 15 Plus,500.00,EUR,959.00
2026-09-09T06:39:19Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-09T06:39:19Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-09T06:39:19Z,ES,iphone-16,iPhone 16,582.00,EUR,859.00
2026-09-09T06:39:19Z,ES,iphone-16-plus,iPhone 16 Plus,592.00,EUR,959.00
2026-09-09T06:39:19Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-09T06:39:19Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,829.00,EUR,1469.00
2026-09-09T06:39:19Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-09T06:39:19Z,ES,iphone-17,iPhone 17,736.00,EUR,959.00
2026-09-09T06:39:19Z,ES,iphone-17-pro,iPhone 17 Pro,951.00,EUR,1319.00
2026-09-09T18:22:51Z,ES,iphone-13,iPhone 13,288.00,EUR,739.00
2026-09-09T18:22:51Z,ES,iphone-13-mini,iPhone 13 mini,249.00,EUR,809.00
2026-09-09T18:22:51Z,ES,iphone-14,iPhone 14,299.00,EUR,739.00
2026-09-09T18:22:51Z,ES,iphone-14-pro,iPhone 14 Pro,471.96,EUR,1319.00
2026-09-09T18:22:51Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-09T18:22:51Z,ES,iphone-15-plus,iPhone 15 Plus,480.00,EUR,959.00
2026-09-09T18:22:51Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-09T18:22:51Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,682.86,EUR,1469.00
2026-09-09T18:22:51Z,ES,iphone-16,iPhone 16,584.00,EUR,859.00
2026-09-09T18:22:51Z,ES,iphone-16-plus,iPhone 16 Plus,599.00,EUR,959.00
2026-09-09T18:22:51Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-09T18:22:51Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,823.00,EUR,1469.00
2026-09-09T18:22:51Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-09T18:22:51Z,ES,iphone-17,iPhone 17,736.00,EUR,959.00
2026-09-09T18:22:51Z,ES,iphone-17-pro,iPhone 17 Pro,953.00,EUR,1319.00
2026-09-10T05:50:05Z,ES,iphone-13,iPhone 13,275.00,EUR,739.00
2026-09-10T05:50:05Z,ES,iphone-13-mini,iPhone 13 mini,272.00,EUR,809.00
2026-09-10T05:50:05Z,ES,iphone-14,iPhone 14,320.00,EUR,739.00
2026-09-10T05:50:05Z,ES,iphone-14-pro,iPhone 14 Pro,488.00,EUR,1549.00
2026-09-10T05:50:05Z,ES,iphone-15,iPhone 15,415.00,EUR,859.00
2026-09-10T05:50:05Z,ES,iphone-15-plus,iPhone 15 Plus,508.00,EUR,959.00
2026-09-10T05:50:05Z,ES,iphone-15-pro,iPhone 15 Pro,569.00,EUR,1219.00
2026-09-10T05:50:05Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-10T05:50:05Z,ES,iphone-16,iPhone 16,569.00,EUR,859.00
2026-09-10T05:50:05Z,ES,iphone-16-plus,iPhone 16 Plus,569.00,EUR,959.00
2026-09-10T05:50:05Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-10T05:50:05Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,824.00,EUR,1469.00
2026-09-10T05:50:05Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-10T05:50:05Z,ES,iphone-17,iPhone 17,749.00,EUR,959.00
2026-09-10T05:50:05Z,ES,iphone-17-pro,iPhone 17 Pro,951.00,EUR,1319.00
2026-09-12T06:20:57Z,ES,iphone-13,iPhone 13,289.99,EUR,739.00
2026-09-12T06:20:57Z,ES,iphone-13-mini,iPhone 13 mini,262.00,EUR,809.00
2026-09-12T06:20:57Z,ES,iphone-14,iPhone 14,307.00,EUR,739.00
2026-09-12T06:20:57Z,ES,iphone-14-pro,iPhone 14 Pro,455.00,EUR,1319.00
2026-09-12T06:20:57Z,ES,iphone-15,iPhone 15,415.00,EUR,859.00
2026-09-12T06:20:57Z,ES,iphone-15-plus,iPhone 15 Plus,475.00,EUR,959.00
2026-09-12T06:20:57Z,ES,iphone-15-pro,iPhone 15 Pro,580.00,EUR,1219.00
2026-09-12T06:20:57Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.99,EUR,1469.00
2026-09-12T06:20:57Z,ES,iphone-16,iPhone 16,599.00,EUR,859.00
2026-09-12T06:20:57Z,ES,iphone-16-plus,iPhone 16 Plus,581.00,EUR,959.00
2026-09-12T06:20:57Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-12T06:20:57Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,820.00,EUR,1469.00
2026-09-12T06:20:57Z,ES,iphone-16e,iPhone 16e,426.00,EUR,709.00
2026-09-12T06:20:57Z,ES,iphone-17,iPhone 17,781.00,EUR,959.00
2026-09-12T06:20:57Z,ES,iphone-17-pro,iPhone 17 Pro,989.00,EUR,1319.00
2026-09-13T20:08:37Z,ES,iphone-13,iPhone 13,289.00,EUR,739.00
2026-09-13T20:08:37Z,ES,iphone-13-mini,iPhone 13 mini,265.00,EUR,809.00
2026-09-13T20:08:37Z,ES,iphone-14,iPhone 14,310.00,EUR,739.00
2026-09-13T20:08:37Z,ES,iphone-14-pro,iPhone 14 Pro,490.00,EUR,1319.00
2026-09-13T20:08:37Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-13T20:08:37Z,ES,iphone-15-plus,iPhone 15 Plus,450.00,EUR,959.00
2026-09-13T20:08:37Z,ES,iphone-15-pro,iPhone 15 Pro,578.00,EUR,1219.00
2026-09-13T20:08:37Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-13T20:08:37Z,ES,iphone-16,iPhone 16,639.00,EUR,859.00
2026-09-13T20:08:37Z,ES,iphone-16-plus,iPhone 16 Plus,589.00,EUR,959.00
2026-09-13T20:08:37Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-13T20:08:37Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,829.00,EUR,1469.00
2026-09-13T20:08:37Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-13T20:08:37Z,ES,iphone-17,iPhone 17,819.00,EUR,959.00
2026-09-13T20:08:37Z,ES,iphone-17-pro,iPhone 17 Pro,978.00,EUR,1319.00
2026-09-14T06:35:15Z,ES,iphone-13,iPhone 13,297.00,EUR,739.00
2026-09-14T06:35:15Z,ES,iphone-13-mini,iPhone 13 mini,274.00,EUR,809.00
2026-09-14T06:35:15Z,ES,iphone-14,iPhone 14,312.00,EUR,739.00
2026-09-14T06:35:15Z,ES,iphone-14-pro,iPhone 14 Pro,494.00,EUR,1319.00
2026-09-14T06:35:15Z,ES,iphone-15,iPhone 15,423.00,EUR,859.00
2026-09-14T06:35:15Z,ES,iphone-15-plus,iPhone 15 Plus,450.00,EUR,959.00
2026-09-14T06:35:15Z,ES,iphone-15-pro,iPhone 15 Pro,579.00,EUR,1219.00
2026-09-14T06:35:15Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,699.00,EUR,1469.00
2026-09-14T06:35:15Z,ES,iphone-16,iPhone 16,639.00,EUR,859.00
2026-09-14T06:35:15Z,ES,iphone-16-plus,iPhone 16 Plus,592.00,EUR,959.00
2026-09-14T06:35:15Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-14T06:35:15Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,831.99,EUR,1469.00
2026-09-14T06:35:15Z,ES,iphone-16e,iPhone 16e,436.00,EUR,709.00
2026-09-14T06:35:15Z,ES,iphone-17,iPhone 17,760.00,EUR,959.00
2026-09-14T06:35:15Z,ES,iphone-17-pro,iPhone 17 Pro,1000.00,EUR,1319.00
2026-09-14T17:35:46Z,ES,iphone-13,iPhone 13,285.00,EUR,739.00
2026-09-14T17:35:46Z,ES,iphone-13-mini,iPhone 13 mini,265.00,EUR,809.00
2026-09-14T17:35:46Z,ES,iphone-14,iPhone 14,311.00,EUR,739.00
2026-09-14T17:35:46Z,ES,iphone-14-pro,iPhone 14 Pro,480.00,EUR,1319.00
2026-09-14T17:35:46Z,ES,iphone-15,iPhone 15,420.00,EUR,859.00
2026-09-14T17:35:46Z,ES,iphone-15-plus,iPhone 15 Plus,449.00,EUR,959.00
2026-09-14T17:35:46Z,ES,iphone-15-pro,iPhone 15 Pro,578.00,EUR,1219.00
2026-09-14T17:35:46Z,ES,iphone-15-pro-max,iPhone 15 Pro Max,700.00,EUR,1469.00
2026-09-14T17:35:46Z,ES,iphone-16,iPhone 16,586.00,EUR,1009.00
2026-09-14T17:35:46Z,ES,iphone-16-plus,iPhone 16 Plus,591.00,EUR,959.00
2026-09-14T17:35:46Z,ES,iphone-16-pro,iPhone 16 Pro,679.00,EUR,1219.00
2026-09-14T17:35:46Z,ES,iphone-16-pro-max,iPhone 16 Pro Max,829.00,EUR,1469.00
